rw_ratio,io_size,reads,writes,rw_ratio_rnd,rw_ratio_seq,io_size_rnd,io_size_seq,bw_r,response_time_rnd,response_time_seq
26,79,194,531,76.0,12.0,41,90,57580,6.671002,9.273697
76,82,11121,3505,49.0,76.0,29,83,1203735,6.953272,8.590377
66,70,2874,1468,75.0,64.0,43,76,307085,4.8535085,6.1625047
40,88,7812,11505,22.0,42.0,18,95,1705798,5.15438,7.7721715
75,83,26851,8532,34.0,76.0,23,85,2968910,6.5395584,6.48732
80,95,17168,4213,40.0,84.0,25,103,2046785,3.7939095,6.7175336
72,80,9016,3471,68.0,72.0,36,82,1003259,4.925572,7.8860474
52,90,26347,23389,52.0,52.0,30,94,4489775,5.4096756,6.6089573
25,37,249,722,21.0,26.0,17,42,36715,4.141259,7.83137
58,65,1298,905,39.0,60.0,24,69,145191,5.335843,6.929322
43,143,3092,4051,23.0,51.0,18,197,1025135,5.3126826,6.5827003
70,71,22834,9442,53.0,74.0,32,79,2320669,4.940919,7.0310435
67,162,8643,4069,15.0,76.0,14,184,2060676,6.163914,6.7370186
73,82,28567,10514,35.0,73.0,23,83,3217744,6.468163,6.2999153
70,80,6463,2670,11.0,80.0,12,91,731059,5.357267,6.030424
69,165,12786,5672,60.0,69.0,33,170,3047399,5.341533,8.172926
68,136,10564,4786,20.0,71.0,16,142,2102708,7.641562,6.6836767
31,46,873,1892,81.0,28.0,43,46,129208,3.2254703,7.775579
60,148,6430,4191,10.0,69.0,12,171,1581248,5.189191,9.008937
75,80,22163,7249,62.0,75.0,35,82,2376668,4.102247,7.38897
35,45,855,1533,7.0,59.0,11,74,109324,5.246386,8.901997
79,87,11781,2990,45.0,80.0,27,88,1287099,5.577431,7.468047
72,77,1174,447,39.0,80.0,25,89,125083,7.1556683,9.407374
59,68,5456,3677,79.0,58.0,44,70,628322,4.0818305,7.953084
67,71,45209,21707,86.0,65.0,47,74,4791599,3.4166064,6.77047
60,70,13078,8471,58.0,60.0,33,73,1527760,5.5804486,7.380739
57,103,6717,5020,25.0,58.0,18,106,1212711,5.590344,6.188852
59,89,19979,13579,25.0,61.0,19,94,3011509,5.2804236,6.8796353
82,130,5822,1223,39.0,84.0,23,134,920060,7.2941175,5.307381
55,61,9951,7962,22.0,61.0,17,69,1096403,4.8951445,6.8532224
